"run_order","filename","pipeline_stage","role","original_source","original_sha256","packaged_sha256","annotation_policy"
"01","extract_interval_data.py","1. Data reconstruction","Parse the BORIS project, observation-time workbook, and aggregated state exports; pair state starts and stops; reconstruct complete 30-minute observation intervals; and produce quality-control totals.",".codex_work\issue4\extract_interval_data.py","eb5faec5175cf330a16db5fa3e3501cd873c40bcdd3b07c961e42240fa3ce6c7","05149908278ad0688aa5c44050989731ed1e93c24ca753e246536b309589f9f1","Executable statements preserved; explanatory header and navigation comments added."
"02","prepare_model_data.py","1. Data reconstruction","Flatten reconstructed interval JSON into model-ready CSV rows with exposure, time, collection-phase, foraging, visibility, and displacement fields.",".codex_work\issue4\prepare_model_data.py","1c8b15966cf8d4b3120abcabf81bcbf1986d974af021782885fe62835adaa568","798e20cdb715b9391d686b3bb7537c43da4a090f9c446819b693b6f119becd23","Executable statements preserved; explanatory header and navigation comments added."
"03","analyze_issue5.py","1. Data reconstruction","Summarize interval structure, dispersion, zero frequencies, recording coverage, daily replication, and candidate outcome distributions before formal modelling.",".codex_work\issue4\analyze_issue5.py","558f13ea76e2565c7c94e2f73673041517622b8954e34815da54ba3152e76b82","5c3a1ab0f4b5b6f72966c91171de6c90b4cd3bd7f51164791f06042bea130a27","Executable statements preserved; explanatory header and navigation comments added."
"04","fit_locked_models.R","2. Primary analysis","Fit the designated primary reanalysis model for foraging seconds, plus documented secondary models, predictions, residual checks, and model tables.",".codex_work\issue4\fit_locked_models.R","22e76ae38fae58c96e67454f07910d79ee81e007f84954afabf2cc22e2df2854","390f24d69511c0752725d2bcf1c527da5980ea8db70e86297370f041558e413d","Executable statements preserved; explanatory header and navigation comments added."
"05","bootstrap_primary.R","2. Primary analysis","Perform a day-cluster bootstrap for the primary foraging model and summarize the collection-day and post-collection effect estimates.",".codex_work\issue4\bootstrap_primary.R","28b79793148b38ba3d5c1fb438263660becfa3146aa59b60d73c2b1467eded92","d397f7077cd5eda384b0b823f23d404715d17dd7d0e8b6dbea8e0b8d5d684b4b","Executable statements preserved; explanatory header and navigation comments added."
"06","leave_one_day_out.R","2. Primary analysis","Refit the primary foraging model after omitting each observation day in turn to identify influential days and evaluate sign/magnitude stability.",".codex_work\issue4\leave_one_day_out.R","300020528674bd096b2842a17bd8315221c3c1beeded467ff223f84e3f27eff9","76e386b6dc1446d9b213d858a44afacc07caeed351665fa8fe33f1dbf6055010","Executable statements preserved; explanatory header and navigation comments added."
"07","collect_model_results.py","2. Primary analysis","Combine primary-model estimates, diagnostics, bootstrap results, and leave-one-day-out summaries into a compact machine-readable result object.",".codex_work\issue4\collect_model_results.py","bef87378caa80a3871cfd1ffd043b7f114cda798eb4c3a81da3036116b22f95b","9c5f92f2516554f6e1c4d0ae6112e7185e7fa23546854b7ab26db8f51197a8ae","Executable statements preserved; explanatory header and navigation comments added."
"08","fit_decomposition_models.R","3. Attendance/intensity decomposition","Decompose total foraging into recorded focal visibility (visible seconds per camera time) and conditional foraging intensity (foraging seconds per visible time).",".codex_work\issue4\fit_decomposition_models.R","663678bd65a358ac64815d215771f47b135d9bd8b3bf1b4e106310360ddf9678","3d72cbaf464cb7695c304179579fb2bab7c272196c2ccb37cb1971fef98dedaf","Executable statements preserved; explanatory header and navigation comments added."
"09","bootstrap_decomposition.R","3. Attendance/intensity decomposition","Use day-cluster bootstrap resampling to quantify uncertainty in attendance and conditional-intensity effects.",".codex_work\issue4\bootstrap_decomposition.R","182f9133fc981b43c3423508b995ca150c1cfeb8de2f63e2af7ce26794853340","c7fb9503065faba05e2a40cc57c501896679cbb076e56523b1d3b6b264a43b99","Executable statements preserved; explanatory header and navigation comments added."
"10","leave_one_day_out_decomposition.R","3. Attendance/intensity decomposition","Assess whether attendance and conditional-intensity conclusions depend on any single observation day.",".codex_work\issue4\leave_one_day_out_decomposition.R","fee3ace00ffc056bc76a2a24bae8b846c90b9bfa409824ca07fe7e7dda421f36","e7bc2bd026a3f3a393cb99938e7529d354bc39d28dd232a177b1cd168943a9e2","Executable statements preserved; explanatory header and navigation comments added."
"11","collect_decomposition_results.py","3. Attendance/intensity decomposition","Collect decomposition estimates, profiles, diagnostics, cluster bootstrap, and leave-one-day-out results into one JSON result object.",".codex_work\issue4\collect_decomposition_results.py","3c7d50ee46fb9e42a6a65df94949be8923772260d475fa0f227d54b4e316eff5","50a5246b9b98e3b8004ce391c43733f6763f9f772cd9fc14cd0caaf0d954d0c9","Executable statements preserved; explanatory header and navigation comments added."
"12","prepare_displacement_data.py","4. Agonistic displacement analysis","Reconstruct directional displacement events and split intervals at collection time so pre- and post-collection exposure is represented correctly.",".codex_work\issue4\prepare_displacement_data.py","90594fa067186472aaf3fdc5d53ee74b15a4c381f08e449028695359511c9d89","d1da47e78ce29fd7e5513315a96a8021a1034a31ab4521238f0261a9acc43770","Executable statements preserved; explanatory header and navigation comments added."
"13","profile_displacement_models.R","4. Agonistic displacement analysis","Compare plausible count families for visible displacement events and document zero frequency, dispersion, likelihood, and information criteria.",".codex_work\issue4\profile_displacement_models.R","d6df2ceb1de2fe207c2f2ca4521187125ec906535b332f0300d0d9e42cab944e","25f609d9411c5a4910c22fa26bd04d7ec169a446a1bde4eb96b624e2ee997824","Executable statements preserved; explanatory header and navigation comments added."
"14","fit_displacement_models.R","4. Agonistic displacement analysis","Fit camera-exposure, focal-visible-exposure, and directional displacement models; produce phase summaries and model diagnostics.",".codex_work\issue4\fit_displacement_models.R","94972f0e0fd836c01e5f53d7c8d9fd762035b674b2639453c94c2ea484940b57","40932ac6487ab50df6b001e7d7db4252dd9202b0edcc8cf0558336a583baf007","Executable statements preserved; explanatory header and navigation comments added."
"15","bootstrap_displacement.R","4. Agonistic displacement analysis","Run chunkable day-cluster bootstrap replicates for displacement models.",".codex_work\issue4\bootstrap_displacement.R","46b0c12ea4652a0b3b30c0b1d2eef0246a39f35396019c39966c9a9670407813","51a1e245b5df0c9144ab8518ccf0465bad3cd8a6da67ce859b3aa283572e2eab","Executable statements preserved; explanatory header and navigation comments added."
"16","leave_one_day_out_displacement.R","4. Agonistic displacement analysis","Refit camera- and visibility-adjusted displacement models while omitting one observation day at a time.",".codex_work\issue4\leave_one_day_out_displacement.R","203390a6199031e55c133771206f595a4a7940508b437f169151c023c47ef0d5","28c76bfe579494750814315b3771de30f465010430380a9a2eb140861e96499d","Executable statements preserved; explanatory header and navigation comments added."
"17","collect_displacement_results.py","4. Agonistic displacement analysis","Combine model, direction, phase, family-profile, bootstrap, and leave-one-day-out outputs into a single result object.",".codex_work\issue4\collect_displacement_results.py","d28530c446dd7adae7a49058bc40193f58a3200556fc32b85bea6a0a62fc85e6","2aba6d1a08cc08726e7f7c46e00639b90a529a7a037afa1dce657c6958f360c5","Executable statements preserved; explanatory header and navigation comments added."
"18","profile_time_decay.R","5. Time-since-collection analysis","Describe post-collection time windows and compare candidate structures for the duration of the collection-associated foraging response.",".codex_work\issue4\profile_time_decay.R","27c515824041adaad9184cb8b1030f7716711ba38a0049bdb4f99ad2b9d27ec7","f54658dade7b3a6dbc06c568e0de500541af4a03b7e15da482563227095821c4","Executable statements preserved; explanatory header and navigation comments added."
"19","fit_time_decay_models.R","5. Time-since-collection analysis","Fit adjusted models for the post-collection trajectory, window contrasts, linear decay, model comparisons, confounding checks, diagnostics, and smooth terms.",".codex_work\issue4\fit_time_decay_models.R","9a569f8e9ca90f0f7f86a0d74b245cdf59dd319ece61f478e939ef9b5ab01bb5","e98d2e50e05f8849496a79dca0def542c4416c7fd766b5bc3bbf2f8e8fb9f1d4","Executable statements preserved; explanatory header and navigation comments added."
"20","bootstrap_time_decay.R","5. Time-since-collection analysis","Run chunkable day-cluster bootstrap replicates for the time-since-collection model.",".codex_work\issue4\bootstrap_time_decay.R","135c1191794fb73dc510f93b8d489ff1b14a3dda586c05ae295f3f069be9bf5e","3a88b2250cff995be32e3a75056423cdf6d150b919c82ef78dfc532a923eb3b6","Executable statements preserved; explanatory header and navigation comments added."
"21","leave_one_day_out_time_decay.R","5. Time-since-collection analysis","Evaluate sensitivity of the estimated post-collection trajectory to omission of each observation day.",".codex_work\issue4\leave_one_day_out_time_decay.R","a5dba1bcf2fc0d5aa0f0aaebb4c8e5ad74029af82625d9fe34c33d89a19f6e06","36b48bf564ab2aef63b6b5e471ab0ac18a5e0c5bd5496d33b0b51d950928dac9","Executable statements preserved; explanatory header and navigation comments added."
"22","collect_time_decay_results.py","5. Time-since-collection analysis","Collect profiles, model estimates, contrasts, diagnostics, bootstrap chunks, and leave-one-day-out results into a compact result object.",".codex_work\issue4\collect_time_decay_results.py","039a2688cc8a2c770211fdbc25f8d5e1d5b990b512eedfb12ebd097fb5b11c9e","bf8ed334df05fbb4f0a57444f8906b0b6527571399a766806bef631adcf72401","Executable statements preserved; explanatory header and navigation comments added."
"23","build_revision_audits.py","6. Approved-revision audits","Create chronological Observation 1–25 labels; build the detailed observation register; audit the 18 foraging intervals outside raw at-site states; reconstruct recorded group-size states; and attach competitor exposure to displacement events.",".codex_work\issue4\build_revision_audits.py","909fe4465bf637adf6bdc4fcebaeb9fe97a3dc793ccb83b46e4fc74620aba530","93033d5a65be0d9aa0a8ead85461aab130fe49228f4deed477b93e31218c3a0e","Executable statements preserved; explanatory header and navigation comments added."
"24","fit_revision_models.R","6. Approved-revision audits","Fit the recorded-group-size, multiple-occupancy, competitor-time-adjusted displacement, and raw-at-site containment-sensitivity models; then run day-level robustness checks.",".codex_work\issue4\fit_revision_models.R","3849a1a88929e4b460f69a115a7e59d5b375f30b1fcfc335a10854d4549493f9","45bec01ed276aee2c3e9b830486a0b73bf6e31e1bba6776a8be5dd80c00a226a","Executable statements preserved; explanatory header and navigation comments added."
"25","fit_reviewer_models.R","6. Blind-review analyses","Fit the requested precollection-versus-noncollection and postcollection-versus-noncollection contrasts, test clock-spline flexibility, export primary-model diagnostics, bound the open-ended 9+ group-size coding with values of 12 and 15, and summarize day-of-week scheduling.",".codex_work\issue4\fit_reviewer_models.R","ae7513ac514401a20fe5b53e15d1bdf51b1efdd92eff5525e8ad6f11309074de","95cbaa90aa57732dfc686525b99dee916160501f14489ca165252733bf0d8480","Executable statements preserved; explanatory header and navigation comments added."
"26","run_secondary_bootstraps.ps1","6. Approved-revision audits","Run the displacement and elapsed-time day-cluster bootstraps in fixed-seed, resumable batches while retaining successful model-fit warnings in the execution log.",".codex_work\issue4\run_secondary_bootstraps.ps1","6a256abaf416ff383bd3666ee04ef59a48f110152716b0638caf4966f51cae22","bcd0ed09230e8da8f1426edbaddd3036bb0c3d4d7c9bbdab8e3a6264b4fe3690","Executable statements preserved; explanatory header and navigation comments added."
"27","build_publication_figures.R","6. Figures and reporting","Create the publication figures from model predictions and reconstructed data using an accessible, redundant visual encoding system.",".codex_work\figures\build_publication_figures.R","39495beb4b1e809ed1d17d786abc8575c760f4a17ce5f776410870a17b94157e","f794b10e74b0ad693df66eeea226fa4a01386ede27b4d20e8f8ad0db653f6d47","Executable statements preserved; explanatory header and navigation comments added."
"28","build_workbook.mjs","6. Figures and reporting","Assemble the audited interval data, model decisions, results, diagnostics, and explanatory sheets into the editable analysis workbook.",".codex_work\issue4\build_workbook.mjs","e8e1ac69de91983fddb9f204c58e1854997a3dbae9a70fef0e766215216dd539","408c4b085a90154cf35f16fc6a6956aadd5e9bfcd416df7b026fcd3ff42efa14","Executable statements preserved; explanatory header and navigation comments added."
"29","verify_output.mjs","6. Figures and reporting","Open the generated workbook, inspect key ranges and formula errors, and render representative sheets for visual quality assurance.",".codex_work\issue4\verify_output.mjs","350db91453aacd20c47f8afe12257c83eea3c01a7139ced202494c90eeeda3bc","88156277934af1b156c9eebdca631c78b690dbd44335875a78d93947df1bc8a3","Executable statements preserved; explanatory header and navigation comments added."
"30","build_supplementary_workbook.mjs","6. Figures and reporting","Assemble the observation register, event-level audits, revised model tables, robustness results, revision matrix, and data dictionary into the editable supplementary workbook.",".codex_work\revision_support\build_supplementary_workbook.mjs","5e6f1b3c10f9c78025a1fbeb9020890709ad4ac1f208cde3ba03cf0912ec6dd0","6899fa6353d189cb448499696b957f65f39fb034a82f3dd1a6a72f2702122191","Executable statements preserved; explanatory header and navigation comments added."
